ModbusManager 1.0.8
20150530
Product: F750
Database: 3152
Title;Info;ID;Unit;Size;Factor;Min;Max;Default;Mode
"HM-pump Status EP14";"Status of the circ. pump";43437;"";u8;1;0;0;0;R;
"PCA-Base Relays EP14";"Indicates the active relays on the PCA-Base card. The information is binary encoded";43514;"";u8;1;0;0;0;R;
"PCA-Power Relays EP14";"Indicates the active relays on the PCA-Power card. The information is binary encoded";43516;"";u8;1;0;0;0;R;
"Calculated supply air temp.";"";43542;"ºC";s16;10;0;0;0;R;
"External supply air accessory relays";"Indicates the status of the relays on the external supply air accessory. The information is binary encoded. B0: relay K1 (QN40 close signal). B1: relay K2 (QN40 open signal)";44258;"";u8;1;0;0;0;R;
"Calc. Cooling Supply Temperature S4";"";44267;"°C";s16;10;0;0;0;R;
"Calc. Cooling Supply Temperature S3";"";44268;"°C";s16;10;0;0;0;R;
"Calc. Cooling Supply Temperature S2";"";44269;"°C";s16;10;0;0;0;R;
"Calc. Cooling Supply Temperature S1";"";44270;"°C";s16;10;0;0;0;R;
"SCA accessory relays";"Indicates the status of the relays on the SCA accessory. The information is binary encoded. B0: relay K1 (Solar pump). B1: relay K2 (Solar Cooling Pump) B2: relay K3 (QN28)";44317;"";u8;1;0;0;0;R;
"Software release";"";44331;"";u8;1;0;0;0;R;
"Alarm number";"The value indicates the most severe current alarm";45001;"";s16;1;0;0;0;R;
"HW charge offset";"Offset of HW charge temperature from the stop temperature";47062;"°C";s8;10;0;0;0;R/W;
"Floor drying timer";"";47291;"hrs";u16;1;0;10000;0;R;
"Heat curve S4";"Heat curve to use see manual for the different curves.";47004;"";s8;1;0;15;9;R/W;
"Heat curve S3";"Heat curve to use see manual for the different curves.";47005;"";s8;1;0;15;9;R/W;
"Heat curve S2";"Heat curve to use see manual for the different curves.";47006;"";s8;1;0;15;9;R/W;
"Heat curve S1";"Heat curve to use see manual for the different curves.";47007;"";s8;1;0;15;9;R/W;
"Offset S4";"Offset of the heat curve";47008;"";s8;1;-10;10;0;R/W;
"Offset S3";"Offset of the heat curve";47009;"";s8;1;-10;10;0;R/W;
"Offset S2";"Offset of the heat curve";47010;"";s8;1;-10;10;0;R/W;
"Offset S1";"Offset of the heat curve";47011;"";s8;1;-10;10;0;R/W;
"Min Supply System 4";"";47012;"°C";s16;10;50;700;200;R/W;
"Min Supply System 3";"";47013;"°C";s16;10;50;700;200;R/W;
"Min Supply System 2";"";47014;"°C";s16;10;50;700;200;R/W;
"Min Supply System 1";"";47015;"°C";s16;10;50;700;200;R/W;
"Max Supply System 4";"";47016;"°C";s16;10;50;700;600;R/W;
"Max Supply System 3";"";47017;"°C";s16;10;50;700;600;R/W;
"Max Supply System 2";"";47018;"°C";s16;10;50;700;600;R/W;
"Max Supply System 1";"";47019;"°C";s16;10;50;700;600;R/W;
"Own Curve P7";"User defined curve point";47020;"°C";s8;1;0;80;15;R/W;
"Own Curve P6";"User defined curve point";47021;"°C";s8;1;0;80;15;R/W;
"Own Curve P5";"User defined curve point";47022;"°C";s8;1;0;80;26;R/W;
"Own Curve P4";"User defined curve point";47023;"°C";s8;1;0;80;32;R/W;
"Own Curve P3";"User defined curve point";47024;"°C";s8;1;0;80;35;R/W;
"Own Curve P2";"User defined curve point";47025;"°C";s8;1;0;80;40;R/W;
"Own Curve P1";"User defined curve point";47026;"°C";s8;1;0;80;45;R/W;
"Point offset outdoor temp.";"Outdoor temperature point where the heat curve is offset";47027;"°C";s8;1;-40;30;0;R/W;
"Point offset";"Amount of offset at the point offset temperature";47028;"°C";s8;1;-10;10;0;R/W;
"External adjustment S4";"Change of the offset of the heat curve when closing the external adjustment input";47029;"";s8;1;-10;10;0;R/W;
"External adjustment S3";"Change of the offset of the heat curve when closing the external adjustment input";47030;"";s8;1;-10;10;0;R/W;
"External adjustment S2";"Change of the offset of the heat curve when closing the external adjustment input";47031;"";s8;1;-10;10;0;R/W;
"External adjustment S1";"Change of the offset of the heat curve when closing the external adjustment input";47032;"";s8;1;-10;10;0;R/W;
"External adjustment with room sensor S4";"Room temperature setting when closing the external adjustment input";47033;"°C";s16;10;50;300;200;R/W;
"External adjustment with room sensor S3";"Room temperature setting when closing the external adjustment input";47034;"°C";s16;10;50;300;200;R/W;
"External adjustment with room sensor S2";"Room temperature setting when closing the external adjustment input";47035;"°C";s16;10;50;300;200;R/W;
"External adjustment with room sensor S1";"Room temperature setting when closing the external adjustment input";47036;"°C";s16;10;50;300;200;R/W;
"Hot water mode";" 0=Economy 1=Normal 2=Luxury";47041;"";s8;1;0;2;1;R/W;
"Start temperature HW Luxury";"Start temperature for heating water";47043;"°C";s16;10;50;700;470;R/W;
"Start temperature HW Normal";"Start temperature for heating water";47044;"°C";s16;10;50;700;450;R/W;
"Start temperature HW Economy";"Start temperature for heating water";47045;"°C";s16;10;50;700;380;R/W;
"Stop temperature Periodic HW";"Temperature where hot water generation will stop";47046;"°C";s16;10;550;700;550;R/W;
"Stop temperature HW Luxury";"Temperature where hot water generation will stop";47047;"°C";s16;10;50;700;520;R/W;
"Stop temperature HW Normal";"Temperature where hot water generation will stop";47048;"°C";s16;10;50;700;500;R/W;
"Stop temperature HW Economy";"Temperature where hot water generation will stop";47049;"°C";s16;10;50;700;430;R/W;
"Periodic HW";"Activates the periodic hot water generation";47050;"";s8;1;0;1;1;R/W;
"Periodic HW Interval";"Interval between Periodic hot water sessions";47051;"days";s8;1;1;90;14;R/W;
"Run time HWC";"Run time for the hot water circulation system";47054;"min";s8;1;1;60;3;R/W;
"Still time HWC";"Still time for the hot water circulation system";47055;"min";s8;1;0;60;12;R/W;
"Manual compfreq HW";"Should the compressor frequency be manual set in HW?";47092;"";u8;1;0;0;0;R/W;
"Manual compfreq speed HW";"Manual compressor frequency in HW?";47093;"Hz";u16;1;0;0;0;R/W;
"Sec per compfreq step";"Time between changes of the copmpressor frequency";47094;"s";u8;1;0;0;0;R/W;
"Max compfreq step";"Largest allowed change of compressor frequency in normal run";47095;"Hz";u8;1;0;0;0;R/W;
"Manual compfreq Heating";"Should the compressor frequency be manual set in Heating?";47096;"";u8;1;0;0;0;R/W;
"Min speed after start";"Time with minimum compressor frequency when heating demand occurs";47097;"Min";u8;1;0;0;0;R/W;
"Min speed after HW";"Should the compressor frequency be manual set in HW?";47098;"Min";u8;1;0;0;0;R/W;
"GMz";"Compressor frequency regulator GMz";47099;"";u8;1;0;0;0;R/W;
"Max diff VBF-BerVBF";"Largest allowed difference between Supply and calc supply";47100;"°C";u8;10;0;0;0;R/W;
"Comp freq reg P";"Compressor frequency regulator P";47101;"";u8;1;0;0;0;R/W;
"Comp freq max delta F";"Maximum change of copmpressor frequency in compressor frequency regulator";47102;"Hz";s8;1;0;0;0;R/W;
"Min comp freq";"Minimum allowed compressor frequency";47103;"Hz";s16;1;0;0;0;R/W;
"Max comp freq";"Maximum allowed compressor frequency";47104;"Hz";s16;1;0;0;0;R/W;
"Comp freq heating";"Compressor frequency used in heating mode";47105;"Hz";s16;1;0;0;0;R/W;
"Language";"Display language in the heat pump 0=English 1=Svenska 2=Deutsch 3=Francais 4=Espanol 5=Suomi 6=Lietuviu 7=Cesky 8=Polski 9=Nederlands 10=Norsk 11=Dansk 12=Eesti 13=Latviesu 16=Magyar";47131;"";s8;1;0;18;0;R/W;
"Period HW";"";47134;"min";u8;1;0;180;20;R/W;
"Period Heat";"";47135;"min";u8;1;0;180;20;R/W;
"Period Pool";"";47136;"min";u8;1;0;180;20;R/W;
"Operational mode heat medium pump";" 10=Intermittent 20=Continous 30=Economy 40=Auto";47138;"";u8;1;10;40;40;R/W;
"DM start heating";"The value the degree minutes needed to be reached for the pump to start heating";47206;"";s16;1;-1000;-30;-60;R/W;
"DM start cooling";"The value the degree minutes needed to be reached for the pump to start cooling";47207;"";s16;1;0;0;0;R/W;
"DM start add.";"The value the degree minutes needed to be reached for the pump to start electric addition";47208;"";s16;1;0;0;0;R/W;
"DM between add. steps";"The number of degree minutes between start of each electric addition step";47209;"";s16;1;0;0;0;R/W;
"DM start add. with shunt";"";47210;"";s16;1;-2000;-30;-400;R/W;
"Max int add. power";"";47212;"kW";s16;100;0;4500;600;R/W;
"Fuse";"Size of the fuse that the HP is connected to";47214;"A";u8;1;1;200;16;R/W;
"Exhaust Fan speed 4";"";47261;"%";u8;1;0;100;100;R/W;
"Exhaust Fan speed 3";"";47262;"%";u8;1;0;100;80;R/W;
"Exhaust Fan speed 2";"";47263;"%";u8;1;0;100;30;R/W;
"Exhaust Fan speed 1";"";47264;"%";u8;1;0;100;0;R/W;
"Exhaust Fan speed normal";"";47265;"%";u8;1;0;100;65;R/W;
"Supply Fan speed 4";"";47266;"%";u8;1;0;100;90;R/W;
"Supply Fan speed 3";"";47267;"%";u8;1;0;100;70;R/W;
"Supply Fan speed 2";"";47268;"%";u8;1;0;100;25;R/W;
"Supply Fan speed 1";"";47269;"%";u8;1;0;100;0;R/W;
"Supply Fan speed normal";"";47270;"%";u8;1;0;100;60;R/W;
"Fan return time 4";"Time from a changed fan speed until it returns to normal speed";47271;"h";u8;1;1;99;4;R/W;
"Fan return time 3";"Time from a changed fan speed until it returns to normal speed";47272;"h";u8;1;1;99;4;R/W;
"Fan return time 2";"Time from a changed fan speed until it returns to normal speed";47273;"h";u8;1;1;99;4;R/W;
"Fan return time 1";"Time from a changed fan speed until it returns to normal speed";47274;"h";u8;1;1;99;4;R/W;
"Filter Reminder period";"Time between the reminder of filter replacement/cleaning.";47275;"Months";u8;1;1;24;3;R/W;
"Floor drying";" 0=Off 1=On";47276;"";u8;1;0;1;0;R/W;
"Floor drying period 7";"Days each period is active";47277;"days";u8;1;0;30;2;R/W;
"Floor drying period 6";"Days each period is active";47278;"days";u8;1;0;30;2;R/W;
"Floor drying period 5";"Days each period is active";47279;"days";u8;1;0;30;2;R/W;
"Floor drying period 4";"Days each period is active";47280;"days";u8;1;0;30;3;R/W;
"Floor drying period 3";"Days each period is active";47281;"days";u8;1;0;30;2;R/W;
"Floor drying period 2";"Days each period is active";47282;"days";u8;1;0;30;2;R/W;
"Floor drying period 1";"Days each period is active";47283;"days";u8;1;0;30;2;R/W;
"Floor drying temp. 7";"Supply temperature each period";47284;"°C";u8;1;15;70;20;R/W;
"Floor drying temp. 6";"Supply temperature each period";47285;"°C";u8;1;15;70;30;R/W;
"Floor drying temp. 5";"Supply temperature each period";47286;"°C";u8;1;15;70;40;R/W;
"Floor drying temp. 4";"Supply temperature each period";47287;"°C";u8;1;15;70;45;R/W;
"Floor drying temp. 3";"Supply temperature each period";47288;"°C";u8;1;15;70;40;R/W;
"Floor drying temp. 2";"Supply temperature each period";47289;"°C";u8;1;15;70;30;R/W;
"Floor drying temp. 1";"Supply temperature each period";47290;"°C";u8;1;15;70;20;R/W;
"Use airflow defrost";"If reduced airflow should start defrost";47294;"";u8;1;0;0;0;R/W;
"Airflow reduction trig";"How much the airflow is allowed to be reduced before a defrost is trigged";47295;"%";u8;1;0;0;0;R/W;
"Airflow defrost done";"How much the airflow has to raise before a defrost is ended";47296;"%";u8;1;0;0;0;R/W;
"Initiate inverter";"Start initiation process of the inverter";47297;"";u8;1;0;0;0;R/W;
"Force inverter init";"Force inverter initiation process of the inverter";47298;"";u8;1;0;0;0;R/W;
"Min time defrost";"Minimum duration of the defrost";47299;"min";u8;1;0;0;0;R/W;
"DOT";"Dimensioning outdoor temperature";47300;"°C";s16;10;-400;200;-180;R/W;
"delta T at DOT";"Delta T (BT12-BT3)at dimensioning outdoor temperature";47301;"°C";s16;10;0;250;100;R/W;
"Climate system 2 accessory";"Activates the climate system 2 accessory 0=Off 1=On";47302;"";u8;1;0;1;0;R/W;
"Climate system 3 accessory";"Activates the climate system 3 accessory 0=Off 1=On";47303;"";u8;1;0;1;0;R/W;
"Climate system 4 accessory";"Activates the climate system 4 accessory 0=Off 1=On";47304;"";u8;1;0;1;0;R/W;
"Climate system 4 mixing valve amp.";"Mixing valve amplification for extra climate systems";47305;"";s8;10;1;100;10;R/W;
"Climate system 3 mixing valve amp.";"Mixing valve amplification for extra climate systems";47306;"";s8;10;1;100;10;R/W;
"Climate system 2 mixing valve amp.";"Mixing valve amplification for extra climate systems";47307;"";s8;10;1;100;10;R/W;
"Climate system 4 shunt wait";"Wait time between changes of the shunt in extra climate systems";47308;"secs";s16;10;10;300;30;R/W;
"Climate system 3 shunt wait";"Wait time between changes of the shunt in extra climate systems";47309;"secs";s16;10;10;300;30;R/W;
"Climate system 2 shunt wait";"Wait time between changes of the shunt in extra climate systems";47310;"secs";s16;10;10;300;30;R/W;
"Shunt controlled add. accessory";"Activates the shunt controlled addition accessory 0=Off 1=On";47317;"";u8;1;0;1;0;R/W;
"Shunt controlled add. min. temp.";"";47318;"°C";s8;1;5;90;55;R/W;
"Shunt controlled add. min. runtime";"";47319;"hrs";u8;1;0;48;12;R/W;
"Shunt controlled add. mixing valve amp.";"Mixing valve amplification for shunt controlled add.";47320;"";s8;10;1;100;10;R/W;
"Shunt controlled add. mixing valve wait";"Wait time between changes of the shunt in shunt controlled add.";47321;"secs";s16;1;10;300;30;R/W;
"SMS40 accessory";"Activates the SMS40 accessory";47352;"";u8;1;0;1;0;R/W;
"Allow Additive Heating";"Whether to allow additive heating (only valid for operational mode Manual)";47370;"";u8;1;0;1;1;R/W;
"Allow Heating";"Whether to allow heating (only valid for operational mode Manual or Add. heat only)";47371;"";u8;1;0;1;1;R/W;
"Allow Cooling";"Whether to allow cooling (only valid for operational mode Manual or Add. heat only)";47372;"";u8;1;0;1;1;R/W;
"Max diff. comp.";"";47378;"°C";s16;10;10;250;100;R/W;
"Max diff. add.";"";47379;"°C";s16;10;10;240;70;R/W;
"Date format";" 1=DD-MM-YY 2=YY-MM-DD";47384;"";u8;1;1;2;1;R/W;
"Time format";" 12=12 hours 24=24 Hours";47385;"";u8;1;12;24;24;R/W;
"HW production";"Activates hot water production where applicable 0=Off 1=On";47387;"";u8;1;0;1;0;R/W;
"Alarm lower room temp.";"Lowers the room temperature during red light alarms to notify the occupants of the building that something is the matter 0=Off 1=On";47388;"";u8;1;0;1;0;R/W;
"Alarm lower HW temp.";"Lowers the hot water temperature during red light alarms to notify the occupants of the building that something is the matter 0=Off 1=On";47389;"";u8;1;0;1;1;R/W;
"Use room sensor S4";"When activated the system uses the room sensor 0=Off 1=On";47391;"";u8;1;0;1;0;R/W;
"Use room sensor S3";"When activated the system uses the room sensor 0=Off 1=On";47392;"";u8;1;0;1;0;R/W;
"Use room sensor S2";"When activated the system uses the room sensor 0=Off 1=On";47393;"";u8;1;0;1;0;R/W;
"Use room sensor S1";"When activated the system uses the room sensor 0=Off 1=On";47394;"";u8;1;0;1;0;R/W;
"Room sensor setpoint S4";"Sets the room temperature setpoint for the system";47395;"°C";s16;10;50;300;200;R/W;
"Room sensor setpoint S3";"Sets the room temperature setpoint for the system";47396;"°C";s16;10;50;300;200;R/W;
"Room sensor setpoint S2";"Sets the room temperature setpoint for the system";47397;"°C";s16;10;50;300;200;R/W;
"Room sensor setpoint S1";"Sets the room temperature setpoint for the system";47398;"°C";s16;10;50;300;200;R/W;
"Room sensor factor S4";"Setting of how much the difference between set and actual room temperature should affect the supply temperature.";47399;"";u8;10;0;60;20;R/W;
"Room sensor factor S3";"Setting of how much the difference between set and actual room temperature should affect the supply temperature.";47400;"";u8;10;0;60;20;R/W;
"Room sensor factor S2";"Setting of how much the difference between set and actual room temperature should affect the supply temperature.";47401;"";u8;10;0;60;20;R/W;
"Room sensor factor S1";"Setting of how much the difference between set and actual room temperature should affect the supply temperature.";47402;"";u8;10;0;60;20;R/W;
"Speed circ.pump Pool";"";47415;"%";u8;1;0;100;70;R/W;
"Speed circ.pump Cooling";"";47417;"%";u8;1;0;100;70;R/W;
"preset flow clim. sys.";"Preset flow setting for climate system. 0 = manual setting, 1 = radiator, 2 = floor heating, 3 = radiator + floor heating.";47442;"";u8;1;0;3;1;R/W;
"Max time defrost";"Maximum duration of the defrost";47473;"min";u8;1;0;0;0;R/W;
"Night cooling";"If the fan should have a higher speed when there is a high room temp and a low outdoor temp. 0=Off 1=On";47537;"";u8;1;0;1;0;R/W;
"Start room temp. night cooling";"";47538;"°C";u8;1;20;30;25;R/W;
"Night Cooling Min. diff.";"Minimum difference between room temp and outdoor temp to start night cooling";47539;"°C";u8;1;3;10;6;R/W;
"DEW accessory";"Activates the DEW accessory";47555;"";u8;1;0;1;0;R/W;
"Operational mode";"The operational mode of the heat pump 0=Auto 1=Manual 2=Add. heat only";47570;"";u8;1;0;0;0;R/W;
"Operational mode charge pump";"";48134;"";u8;1;10;20;20;R/W;
"SAM supply air curve: outdoor temp T3";"The supply air curve is defined by 3 supply air temperatures at 3 different outdoor temperatures T1, T2 and T3.";48158;"°C";s16;10;-400;200;150;R/W;
"SAM supply air curve: outdoor temp T2";"The supply air curve is defined by 3 supply air temperatures at 3 different outdoor temperatures T1, T2 and T3.";48159;"°C";s16;10;-390;190;0;R/W;
"SAM supply air curve: outdoor temp T1";"The supply air curve is defined by 3 supply air temperatures at 3 different outdoor temperatures T1, T2 and T3.";48160;"°C";s16;10;-400;200;-150;R/W;
"SAM supply air curve: supply air temp at T3";"The supply air curve is defined by 3 supply air temperatures at 3 different outdoor temperatures T1, T2 and T3.";48161;"°C";s16;10;160;520;220;R/W;
"SAM supply air curve: supply air temp at T2";"The supply air curve is defined by 3 supply air temperatures at 3 different outdoor temperatures T1, T2 and T3.";48162;"°C";s16;10;160;520;220;R/W;
"SAM supply air curve: supply air temp at T1";"The supply air curve is defined by 3 supply air temperatures at 3 different outdoor temperatures T1, T2 and T3.";48163;"°C";s16;10;160;520;220;R/W;
"SCA accessory";"Activates the SCA accessory";48201;"";u8;1;0;1;0;R/W;
